product_id,warehouse_id,category,brand,unit_price,unit_cost,lead_time_days,supplier_id,reorder_point,safety_stock,stock_on_hand,stock_reserved,available_stock,avg_daily_demand,forecasted_demand,reorder_quantity
PRD01809,WH042,Beverages,UrbanFresh,52.02,43.55,25,SUP0872,187,15,9604,1334,8270,0.0,0.0,0
PRD03892,WH045,Snacks,QuickBite,743.03,491.59,24,SUP0499,299,63,8137,1007,7130,3.5,84.0,0
PRD09983,WH048,Dairy,HappyHome,114.97,86.96,18,SUP0356,159,25,6220,794,5426,4.428571428571429,79.71428571428572,0
PRD09668,WH018,Fruits & Vegetables,FamilyChoice,65.69,44.88,27,SUP0292,255,47,6269,792,5477,0.0,0.0,0
PRD04399,WH008,Cleaning Supplies,NaturePlus,221.85,186.3,8,SUP0699,293,5,9892,152,9740,0.0,0.0,0
PRD04908,WH018,Snacks,PureHarvest,352.06,265.35,19,SUP0993,249,83,5034,1360,3674,0.0,0.0,0
PRD00163,WH025,Beverages,DailyChoice,336.26,253.98,28,SUP0908,209,38,5082,682,4400,4.642857142857143,130.0,0
PRD06002,WH034,Beverages,UrbanFresh,372.09,282.64,15,SUP0159,65,68,1463,344,1119,0.0,0.0,0
PRD06347,WH039,Household,MegaStore,605.65,454.68,19,SUP0673,179,47,2212,559,1653,0.0,0.0,0
PRD00609,WH035,Frozen Foods,DailyChoice,197.61,141.15,7,SUP0166,223,36,6291,1329,4962,0.0,0.0,0
PRD08919,WH024,Fruits & Vegetables,HomeEssentials,737.96,463.66,12,SUP0169,141,77,2939,917,2022,0.0,0.0,0
PRD08372,WH043,Packaged Foods,MegaStore,271.21,210.27,11,SUP0873,234,18,1331,342,989,0.7142857142857143,7.857142857142858,0
PRD08346,WH028,Cleaning Supplies,SuperFresh,510.28,405.63,24,SUP0750,123,84,4707,1262,3445,6.642857142857143,159.42857142857144,0
PRD04317,WH041,Household,FreshMart,383.01,263.25,9,SUP0738,65,8,3015,120,2895,1.5,13.5,0
PRD07531,WH044,Frozen Foods,PureHarvest,634.9,488.62,18,SUP0805,147,24,9660,844,8816,0.0,0.0,0
PRD05278,WH014,Dairy,GreenHarvest,233.83,172.8,2,SUP0222,151,13,8307,2815,5492,5.785714285714286,11.571428571428571,0
PRD07086,WH029,Cleaning Supplies,PrimeFoods,153.71,130.11,27,SUP0749,38,95,6622,475,6147,0.0,0.0,0
PRD05845,WH046,Cleaning Supplies,FamilyChoice,101.17,80.72,10,SUP0809,42,24,5293,1985,3308,0.0,0.0,0
PRD03126,WH047,Snacks,FreshMart,637.26,452.86,25,SUP0417,226,80,9873,1592,8281,0.0,0.0,0
PRD05280,WH016,Packaged Foods,HealthySelect,176.37,115.58,10,SUP0367,69,42,8748,1485,7263,0.0,0.0,0
PRD02138,WH049,Snacks,DailyChoice,235.22,149.97,23,SUP0020,197,41,8151,2382,5769,1.5714285714285714,36.14285714285714,0
PRD07172,WH027,Bakery,MegaStore,386.66,249.54,21,SUP0232,104,11,1862,741,1121,4.214285714285714,88.5,0
PRD08175,WH040,Beverages,DailyChoice,493.69,328.63,26,SUP0444,289,20,4140,1606,2534,0.0,0.0,0
PRD07100,WH022,Dairy,PureHarvest,576.67,397.75,5,SUP0034,90,84,529,38,491,0.0,0.0,0
PRD04826,WH001,Bakery,QuickBite,240.73,161.91,9,SUP0389,120,100,2795,179,2616,0.0,0.0,0
PRD04084,WH011,Household,SmartChoice,455.76,352.9,27,SUP0621,66,32,1459,194,1265,8.0,216.0,0
PRD04046,WH010,Beverages,UrbanFresh,175.56,132.39,11,SUP0872,230,49,5353,1304,4049,0.0,0.0,0
PRD03958,WH016,Personal Care,PrimeFoods,316.75,261.37,16,SUP0429,112,14,9022,1904,7118,0.0,0.0,0
PRD04057,WH044,Bakery,PremiumSelect,343.92,219.69,2,SUP0498,225,93,9098,3385,5713,0.0,0.0,0
PRD09470,WH027,Household,FamilyChoice,481.6,318.01,27,SUP0732,235,86,585,38,547,4.642857142857143,125.35714285714286,0
PRD05347,WH028,Fruits & Vegetables,HomeEssentials,703.65,494.86,29,SUP0014,156,22,4868,1057,3811,11.214285714285714,325.21428571428567,0
PRD01487,WH039,Beverages,ValuePlus,576.18,363.67,19,SUP0881,285,27,4893,206,4687,0.0,0.0,0
PRD01601,WH012,Beverages,PremiumSelect,131.85,110.23,17,SUP0354,142,98,6311,2384,3927,0.9285714285714286,15.785714285714286,0
PRD04101,WH023,Cleaning Supplies,FreshMart,64.15,41.79,13,SUP0554,83,38,3044,59,2985,1.5714285714285714,20.428571428571427,0
PRD09823,WH015,Frozen Foods,SuperFresh,81.27,52.19,26,SUP0110,153,59,4841,817,4024,5.142857142857143,133.71428571428572,0
PRD01966,WH012,Frozen Foods,PureLife,518.45,402.04,30,SUP0259,284,51,5216,511,4705,5.071428571428571,152.14285714285714,0
PRD05657,WH016,Beverages,NaturePlus,662.99,441.64,25,SUP0868,216,84,1476,230,1246,4.642857142857143,116.07142857142858,0
PRD08060,WH020,Frozen Foods,UrbanFresh,313.16,262.36,9,SUP0370,40,40,8900,3381,5519,0.7142857142857143,6.428571428571429,0
PRD01323,WH041,Household,UrbanFresh,652.82,455.03,19,SUP0829,218,53,1395,401,994,0.0,0.0,0
PRD05488,WH021,Personal Care,MegaStore,273.21,201.47,3,SUP0217,148,30,5468,382,5086,4.428571428571429,13.285714285714286,0
PRD08294,WH032,Snacks,UrbanFresh,501.22,348.73,9,SUP0700,242,34,3533,61,3472,0.0,0.0,0
PRD09065,WH044,Cleaning Supplies,FamilyChoice,308.47,251.5,15,SUP0834,20,77,1510,319,1191,5.785714285714286,86.78571428571428,0
PRD03670,WH050,Dairy,GreenHarvest,289.17,213.05,22,SUP0750,299,93,7354,2600,4754,0.0,0.0,0
PRD04918,WH032,Personal Care,MegaStore,623.91,418.28,17,SUP0801,69,73,9231,900,8331,3.4285714285714284,58.285714285714285,0
PRD05745,WH034,Personal Care,PrimeFoods,47.74,34.46,30,SUP0605,143,71,6788,2110,4678,0.0,0.0,0
PRD01379,WH029,Beverages,ValuePlus,179.17,136.42,26,SUP0378,228,33,1420,152,1268,0.0,0.0,0
PRD07203,WH048,Dairy,DailyChoice,517.09,349.34,24,SUP0866,82,26,890,266,624,1.7142857142857142,41.14285714285714,0
PRD07543,WH044,Beverages,UrbanFresh,261.7,197.8,16,SUP0100,27,95,3737,1422,2315,0.0,0.0,0
PRD06442,WH042,Cleaning Supplies,PremiumSelect,552.33,402.97,3,SUP0809,141,63,4609,1811,2798,6.857142857142857,20.57142857142857,0
PRD09006,WH028,Packaged Foods,QuickBite,466.59,347.49,28,SUP0371,240,63,2111,390,1721,0.0,0.0,0
PRD07021,WH016,Frozen Foods,GoldenHarvest,381.34,304.28,19,SUP0129,168,84,3086,934,2152,10.5,199.5,0
PRD07625,WH010,Fruits & Vegetables,PureHarvest,527.49,387.43,22,SUP0802,55,8,6715,2079,4636,0.0,0.0,0
PRD03148,WH017,Beverages,DailyChoice,208.1,174.12,26,SUP0727,77,99,5266,819,4447,0.0,0.0,0
PRD05344,WH009,Bakery,GreenHarvest,70.3,56.68,20,SUP0033,71,42,7779,2696,5083,0.2857142857142857,5.7142857142857135,0
PRD05256,WH016,Bakery,QuickBite,169.52,126.91,24,SUP0358,212,100,3418,416,3002,6.285714285714286,150.85714285714286,0
PRD03333,WH011,Cleaning Supplies,GoldenHarvest,161.71,139.0,11,SUP0445,81,95,5477,256,5221,2.357142857142857,25.92857142857143,0
PRD09373,WH030,Dairy,FamilyChoice,465.48,316.69,6,SUP0732,217,24,4829,1693,3136,0.0,0.0,0
PRD07137,WH024,Bakery,GoldenHarvest,282.39,197.36,25,SUP0284,105,15,9834,3122,6712,0.0,0.0,0
PRD02839,WH006,Dairy,DailyChoice,329.83,281.68,12,SUP0150,100,40,5555,1792,3763,0.6428571428571429,7.714285714285715,0
PRD03011,WH050,Frozen Foods,QuickBite,177.52,148.24,2,SUP0037,200,32,6097,1720,4377,8.928571428571429,17.857142857142858,0
PRD08331,WH022,Bakery,FamilyChoice,561.34,467.45,14,SUP0651,60,14,6822,2625,4197,0.21428571428571427,3.0,0
PRD07265,WH010,Frozen Foods,GoldenHarvest,229.63,193.15,7,SUP0415,55,60,7258,627,6631,7.928571428571429,55.5,0
