defect_id,product_id,supplier_id,warehouse_id,defect_type,defect_count,inspection_date,severity
DEF000001,PRD02037,SUP0015,WH036,Contamination,412,9/25/2023,Critical
DEF000002,PRD08837,SUP0835,WH021,Quality Failure,71,3/3/2025,Low
DEF000003,PRD00939,SUP0972,WH009,Quality Failure,379,3/27/2025,Low
DEF000004,PRD07765,SUP0989,WH009,Quality Failure,195,2/26/2023,Low
DEF000005,PRD08938,SUP0938,WH025,Packaging Damage,267,5/13/2023,Medium
DEF000006,PRD03291,SUP0911,WH029,Transit Damage,125,5/9/2023,Low
DEF000007,PRD07314,SUP0168,WH039,Transit Damage,124,2/5/2025,Medium
DEF000008,PRD09773,SUP0532,WH013,Label Error,227,1/10/2023,Low
DEF000009,PRD09933,SUP0564,WH038,Expired Product,396,8/7/2024,Low
DEF000010,PRD07068,SUP0326,WH011,Packaging Damage,468,3/3/2026,Medium
DEF000011,PRD08144,SUP0770,WH045,Label Error,352,7/10/2024,Low
DEF000012,PRD08224,SUP0650,WH046,Packaging Damage,457,1/27/2023,High
DEF000013,PRD05773,SUP0604,WH019,Broken Item,178,2/18/2024,Low
DEF000014,PRD07529,SUP0564,WH013,Quality Failure,327,5/10/2026,Medium
DEF000015,PRD03316,SUP0271,WH050,Transit Damage,161,1/13/2023,High
DEF000016,PRD09834,SUP0998,WH022,Transit Damage,235,7/13/2023,Low
DEF000017,PRD09357,SUP0973,WH046,Packaging Damage,130,3/12/2026,High
DEF000018,PRD07457,SUP0996,WH036,Expired Product,282,10/7/2024,Low
DEF000019,PRD07515,SUP0192,WH009,Label Error,137,9/21/2025,High
DEF000020,PRD06376,SUP0121,WH015,Packaging Damage,431,4/6/2026,High
DEF000021,PRD03116,SUP0691,WH015,Quality Failure,45,6/25/2025,Medium
DEF000022,PRD04389,SUP0561,WH007,Expired Product,160,6/1/2024,Low
DEF000023,PRD06936,SUP0410,WH049,Broken Item,198,3/23/2025,High
DEF000024,PRD07390,SUP0042,WH027,Packaging Damage,6,4/12/2024,Low
DEF000025,PRD04321,SUP0917,WH039,Expired Product,35,4/24/2026,Low
DEF000026,PRD02614,SUP0488,WH020,Transit Damage,405,3/30/2025,Low
DEF000027,PRD02050,SUP0407,WH026,Quality Failure,457,7/17/2024,Low
DEF000028,PRD03708,SUP0807,WH041,Label Error,301,9/28/2023,Medium
DEF000029,PRD01064,SUP0885,WH020,Packaging Damage,212,6/9/2023,Low
DEF000030,PRD04811,SUP0144,WH006,Broken Item,60,4/3/2024,Low
DEF000031,PRD04959,SUP0612,WH044,Transit Damage,440,12/15/2024,Low
DEF000032,PRD09819,SUP0204,WH008,Packaging Damage,246,11/19/2024,High
DEF000033,PRD03810,SUP0501,WH028,Expired Product,480,2/24/2024,Medium
DEF000034,PRD08278,SUP0791,WH049,Contamination,51,3/28/2025,Low
DEF000035,PRD07498,SUP0456,WH043,Packaging Damage,341,1/31/2026,Low
DEF000036,PRD06234,SUP0247,WH048,Quality Failure,202,1/15/2026,Low
DEF000037,PRD06538,SUP0804,WH029,Quality Failure,29,3/8/2024,Low
DEF000038,PRD08502,SUP0796,WH034,Quality Failure,451,6/26/2023,Medium
DEF000039,PRD09093,SUP0811,WH025,Contamination,403,12/8/2024,Low
DEF000040,PRD03976,SUP0592,WH029,Expired Product,156,12/6/2024,Low
DEF000041,PRD07380,SUP0177,WH030,Transit Damage,117,7/31/2025,Medium
DEF000042,PRD02421,SUP0204,WH015,Label Error,166,1/6/2023,Medium
DEF000043,PRD04223,SUP0353,WH009,Expired Product,495,6/9/2023,Medium
DEF000044,PRD02442,SUP0243,WH021,Packaging Damage,43,1/15/2025,High
DEF000045,PRD03899,SUP0859,WH001,Quality Failure,398,9/23/2023,Medium
DEF000046,PRD06400,SUP0452,WH027,Quality Failure,84,10/9/2023,High
DEF000047,PRD02421,SUP0204,WH041,Quality Failure,472,3/12/2023,High
DEF000048,PRD01991,SUP0147,WH012,Expired Product,18,12/21/2024,Medium
DEF000049,PRD08193,SUP0054,WH003,Transit Damage,230,6/28/2024,Medium
DEF000050,PRD03672,SUP0578,WH038,Label Error,79,11/25/2025,Medium
DEF000051,PRD00351,SUP0028,WH017,Expired Product,498,2/4/2024,High
DEF000052,PRD00384,SUP0349,WH033,Packaging Damage,18,3/12/2025,Medium
DEF000053,PRD08388,SUP0509,WH049,Transit Damage,376,5/31/2023,High
DEF000054,PRD06574,SUP0503,WH012,Packaging Damage,297,8/10/2024,Medium
DEF000055,PRD02966,SUP0998,WH048,Contamination,3,11/10/2023,High
DEF000056,PRD01992,SUP0439,WH042,Quality Failure,439,11/17/2024,High
DEF000057,PRD02657,SUP0389,WH034,Label Error,495,1/29/2026,Medium
DEF000058,PRD04768,SUP0552,WH007,Expired Product,341,7/12/2023,Low
DEF000059,PRD04684,SUP0411,WH009,Transit Damage,402,3/14/2026,Low
DEF000060,PRD01298,SUP0995,WH046,Label Error,263,11/28/2025,Low
DEF000061,PRD03203,SUP0326,WH017,Packaging Damage,188,6/24/2026,Medium
DEF000062,PRD02264,SUP0699,WH019,Contamination,61,8/15/2024,Low
DEF000063,PRD09114,SUP0888,WH046,Expired Product,92,10/14/2025,Low
DEF000064,PRD07252,SUP0624,WH005,Contamination,383,6/13/2026,Low
DEF000065,PRD09866,SUP0707,WH016,Broken Item,438,4/7/2025,Medium
DEF000066,PRD02224,SUP0539,WH003,Label Error,168,3/25/2023,Low
DEF000067,PRD02335,SUP0579,WH018,Transit Damage,396,1/19/2023,Medium
DEF000068,PRD00373,SUP0719,WH019,Packaging Damage,220,7/24/2023,High
DEF000069,PRD04721,SUP0786,WH025,Packaging Damage,311,4/26/2024,High
DEF000070,PRD07680,SUP0547,WH049,Quality Failure,46,12/14/2024,Medium
DEF000071,PRD04297,SUP0835,WH011,Contamination,71,3/4/2025,High
DEF000072,PRD06568,SUP0873,WH039,Label Error,332,4/22/2026,Low
DEF000073,PRD07927,SUP0803,WH014,Packaging Damage,154,2/17/2025,Medium
DEF000074,PRD05647,SUP0714,WH024,Packaging Damage,116,10/20/2023,Medium
DEF000075,PRD02685,SUP0998,WH017,Expired Product,312,3/24/2023,Low
DEF000076,PRD02606,SUP0571,WH028,Contamination,286,11/5/2024,High
DEF000077,PRD07364,SUP0416,WH017,Transit Damage,116,8/12/2024,Low
DEF000078,PRD06641,SUP0848,WH039,Label Error,87,12/13/2024,Low
DEF000079,PRD06128,SUP0295,WH047,Expired Product,293,11/9/2024,Low
DEF000080,PRD08543,SUP0965,WH022,Packaging Damage,460,2/22/2026,Medium
DEF000081,PRD05962,SUP0741,WH050,Quality Failure,40,11/20/2023,Medium
DEF000082,PRD01043,SUP0595,WH024,Packaging Damage,137,12/29/2024,Low
DEF000083,PRD02415,SUP0939,WH026,Quality Failure,178,10/21/2025,Low
DEF000084,PRD06945,SUP0529,WH047,Broken Item,137,8/29/2025,High
DEF000085,PRD00147,SUP0006,WH008,Expired Product,458,12/25/2023,High
DEF000086,PRD03074,SUP0971,WH047,Quality Failure,440,8/19/2025,Low
DEF000087,PRD06498,SUP0040,WH033,Label Error,154,9/1/2023,Low
DEF000088,PRD08229,SUP0086,WH043,Label Error,368,8/11/2024,Medium
DEF000089,PRD04579,SUP0490,WH011,Transit Damage,224,11/2/2023,Low
DEF000090,PRD02462,SUP0704,WH002,Label Error,416,2/7/2025,Low
DEF000091,PRD00673,SUP0354,WH034,Quality Failure,148,2/9/2023,Low
DEF000092,PRD03186,SUP0719,WH047,Broken Item,150,2/4/2023,Low
DEF000093,PRD06337,SUP0578,WH043,Expired Product,329,5/14/2026,Low
DEF000094,PRD00155,SUP0190,WH007,Contamination,339,1/17/2026,Medium
DEF000095,PRD05365,SUP0333,WH006,Quality Failure,246,11/23/2023,Medium
DEF000096,PRD02622,SUP0030,WH009,Expired Product,276,6/2/2024,Low
DEF000097,PRD01375,SUP0113,WH037,Label Error,433,12/14/2023,Medium
DEF000098,PRD02741,SUP0968,WH020,Label Error,474,7/8/2024,High
DEF000099,PRD06269,SUP0200,WH017,Quality Failure,229,11/7/2023,Medium
DEF000100,PRD03448,SUP0372,WH037,Label Error,324,8/23/2023,High
DEF000101,PRD02386,SUP0308,WH045,Contamination,244,8/20/2023,Low
