inventory_id,product_id,warehouse_id,stock_on_hand,stock_reserved,available_stock,last_updated
INV000001,PRD01809,WH042,9604,1334,8270,11/11/2025
INV000002,PRD03892,WH045,8137,1007,7130,12/22/2025
INV000003,PRD09983,WH048,6220,794,5426,3/14/2026
INV000004,PRD09668,WH018,6269,792,5477,9/20/2025
INV000005,PRD04399,WH008,9892,152,9740,7/18/2025
INV000006,PRD04908,WH018,5034,1360,3674,1/8/2026
INV000007,PRD00163,WH025,5082,682,4400,2/27/2026
INV000008,PRD06002,WH034,1463,344,1119,8/27/2025
INV000009,PRD06347,WH039,2212,559,1653,6/1/2026
INV000010,PRD00609,WH035,6291,1329,4962,10/4/2025
INV000011,PRD08919,WH024,2939,917,2022,8/4/2025
INV000012,PRD08372,WH043,1331,342,989,1/11/2026
INV000013,PRD08346,WH028,4707,1262,3445,4/5/2026
INV000014,PRD04317,WH041,3015,120,2895,12/27/2025
INV000015,PRD07531,WH044,9660,844,8816,6/3/2026
INV000016,PRD05278,WH014,8307,2815,5492,9/7/2025
INV000017,PRD07086,WH029,6622,475,6147,1/6/2026
INV000018,PRD05845,WH046,5293,1985,3308,3/18/2026
INV000019,PRD03126,WH047,9873,1592,8281,11/8/2025
INV000020,PRD05280,WH016,8748,1485,7263,5/21/2026
INV000021,PRD02138,WH049,8151,2382,5769,2/3/2026
INV000022,PRD07172,WH027,1862,741,1121,3/12/2026
INV000023,PRD08175,WH040,4140,1606,2534,3/14/2026
INV000024,PRD07100,WH022,529,38,491,12/23/2025
INV000025,PRD04826,WH001,2795,179,2616,2/3/2026
INV000026,PRD04084,WH011,1459,194,1265,12/17/2025
INV000027,PRD04046,WH010,5353,1304,4049,11/25/2025
INV000028,PRD03958,WH016,9022,1904,7118,6/14/2026
INV000029,PRD04057,WH044,9098,3385,5713,5/15/2026
INV000030,PRD09470,WH027,585,38,547,12/21/2025
INV000031,PRD05347,WH028,4868,1057,3811,6/24/2025
INV000032,PRD01487,WH039,4893,206,4687,10/9/2025
INV000033,PRD01601,WH012,6311,2384,3927,5/29/2026
INV000034,PRD04101,WH023,3044,59,2985,8/23/2025
INV000035,PRD09823,WH015,4841,817,4024,2/20/2026
INV000036,PRD01966,WH012,5216,511,4705,3/29/2026
INV000037,PRD05657,WH016,1476,230,1246,3/30/2026
INV000038,PRD08060,WH020,8900,3381,5519,9/26/2025
INV000039,PRD01323,WH041,1395,401,994,10/14/2025
INV000040,PRD05488,WH021,5468,382,5086,10/12/2025
INV000041,PRD08294,WH032,3533,61,3472,12/12/2025
INV000042,PRD09065,WH044,1510,319,1191,12/15/2025
INV000043,PRD03670,WH050,7354,2600,4754,7/30/2025
INV000044,PRD04918,WH032,9231,900,8331,11/25/2025
INV000045,PRD05745,WH034,6788,2110,4678,9/1/2025
INV000046,PRD01379,WH029,1420,152,1268,7/11/2025
INV000047,PRD07203,WH048,890,266,624,7/13/2025
INV000048,PRD07543,WH044,3737,1422,2315,3/19/2026
INV000049,PRD06442,WH042,4609,1811,2798,12/25/2025
INV000050,PRD09006,WH028,2111,390,1721,4/10/2026
INV000051,PRD07021,WH016,3086,934,2152,9/20/2025
INV000052,PRD07625,WH010,6715,2079,4636,4/6/2026
INV000053,PRD03148,WH017,5266,819,4447,4/15/2026
INV000054,PRD05344,WH009,7779,2696,5083,11/18/2025
INV000055,PRD05256,WH016,3418,416,3002,2/10/2026
INV000056,PRD03333,WH011,5477,256,5221,1/31/2026
INV000057,PRD09373,WH030,4829,1693,3136,9/1/2025
INV000058,PRD07137,WH024,9834,3122,6712,9/2/2025
INV000059,PRD02839,WH006,5555,1792,3763,11/3/2025
INV000060,PRD03011,WH050,6097,1720,4377,12/12/2025
INV000061,PRD08331,WH022,6822,2625,4197,2/5/2026
INV000062,PRD07265,WH010,7258,627,6631,9/9/2025
INV000063,PRD08087,WH030,3336,742,2594,11/6/2025
INV000064,PRD09601,WH009,3533,581,2952,12/3/2025
INV000065,PRD08324,WH049,1491,173,1318,4/3/2026
INV000066,PRD06090,WH050,7296,79,7217,9/11/2025
INV000067,PRD09732,WH048,953,58,895,4/1/2026
INV000068,PRD08056,WH042,7361,1980,5381,2/8/2026
INV000069,PRD02697,WH035,6512,910,5602,6/13/2026
INV000070,PRD08226,WH034,9479,1680,7799,11/5/2025
INV000071,PRD06928,WH040,663,163,500,4/3/2026
INV000072,PRD07031,WH037,5717,1064,4653,10/4/2025
INV000073,PRD07626,WH033,6164,267,5897,8/31/2025
INV000074,PRD09393,WH012,3737,907,2830,3/31/2026
INV000075,PRD08640,WH044,9954,1571,8383,9/16/2025
INV000076,PRD06713,WH034,4226,1163,3063,1/12/2026
INV000077,PRD01916,WH030,6293,1124,5169,1/17/2026
INV000078,PRD02835,WH033,6228,953,5275,2/10/2026
INV000079,PRD09133,WH021,1250,386,864,8/27/2025
INV000080,PRD04452,WH047,8446,464,7982,8/1/2025
INV000081,PRD04259,WH046,5022,1636,3386,12/5/2025
INV000082,PRD01617,WH001,2485,654,1831,8/25/2025
INV000083,PRD02403,WH028,8971,574,8397,11/1/2025
