po_id,supplier_id,product_id,warehouse_id,quantity,order_date,expected_delivery_date,actual_delivery_date,status
PO0000001,SUP0031,PRD08701,WH003,3195,7/25/2024,8/18/2024,,In Transit
PO0000002,SUP0075,PRD05359,WH046,2857,6/20/2025,6/28/2025,6/27/2025,Delivered
PO0000003,SUP0567,PRD03445,WH040,2336,9/9/2024,10/5/2024,10/13/2024,Delayed
PO0000004,SUP0826,PRD00693,WH004,3575,12/26/2025,1/25/2026,1/24/2026,Delivered
PO0000005,SUP0919,PRD09721,WH046,2060,9/23/2024,10/6/2024,10/4/2024,Delivered
PO0000006,SUP0822,PRD04714,WH035,1856,2/22/2024,2/24/2024,3/2/2024,Delayed
PO0000007,SUP0172,PRD06708,WH047,2803,9/10/2024,9/28/2024,,In Transit
PO0000008,SUP0240,PRD00481,WH040,1070,8/28/2023,9/2/2023,9/5/2023,Delivered
PO0000009,SUP0738,PRD00688,WH037,3429,6/10/2025,6/21/2025,6/23/2025,Delivered
PO0000010,SUP0135,PRD03093,WH018,2944,10/25/2024,11/14/2024,11/15/2024,Delivered
PO0000011,SUP0596,PRD08382,WH023,2898,11/11/2025,11/13/2025,11/15/2025,Delivered
PO0000012,SUP0970,PRD07882,WH016,4096,9/15/2023,10/10/2023,10/12/2023,Delivered
PO0000013,SUP0747,PRD07784,WH008,4071,11/14/2025,11/22/2025,,In Transit
PO0000014,SUP0511,PRD07372,WH015,980,6/24/2024,7/14/2024,,Pending
PO0000015,SUP0041,PRD05765,WH013,3973,3/14/2026,3/29/2026,3/29/2026,Delivered
PO0000016,SUP0395,PRD03468,WH046,503,8/21/2025,9/18/2025,9/19/2025,Delivered
PO0000017,SUP0087,PRD05479,WH007,2208,1/13/2024,1/31/2024,1/31/2024,Delivered
PO0000018,SUP0290,PRD09579,WH008,799,10/17/2025,11/6/2025,11/6/2025,Delivered
PO0000019,SUP0311,PRD04074,WH033,962,1/5/2026,1/8/2026,1/13/2026,Delayed
PO0000020,SUP0804,PRD06352,WH013,3005,3/10/2024,3/19/2024,,Pending
PO0000021,SUP0373,PRD08430,WH050,1971,8/30/2025,9/23/2025,9/24/2025,Delivered
PO0000022,SUP0098,PRD09852,WH028,1942,2/21/2025,3/1/2025,2/28/2025,Delivered
PO0000023,SUP0060,PRD03420,WH036,4956,8/7/2023,8/14/2023,8/13/2023,Delivered
PO0000024,SUP0852,PRD05616,WH028,3190,4/18/2023,4/30/2023,5/3/2023,Delivered
PO0000025,SUP0204,PRD02421,WH025,1325,12/11/2025,12/16/2025,12/16/2025,Delivered
PO0000026,SUP0733,PRD01023,WH011,280,1/27/2026,2/1/2026,2/4/2026,Delivered
PO0000027,SUP0988,PRD04612,WH039,2872,7/30/2024,8/28/2024,8/28/2024,Delivered
PO0000028,SUP0325,PRD04187,WH036,4743,9/28/2025,10/4/2025,,Cancelled
PO0000029,SUP0284,PRD07137,WH037,2118,6/23/2023,7/18/2023,7/17/2023,Delivered
PO0000030,SUP0765,PRD06373,WH021,3685,7/25/2025,8/4/2025,8/7/2025,Delivered
PO0000031,SUP0551,PRD09837,WH016,2074,3/4/2024,3/30/2024,4/2/2024,Delivered
